[27/04/2019 - 13:16:51] - BerN deu admin nivel 1342 para Saimu [27/4/2019] ás [13:16:51].
[27/06/2021 - 16:22:06] - Vgzinn deu admin nivel 1 para Victor_Insanity [27/6/2021] ás [16:22:6].
[27/06/2021 - 16:31:41] - Vgzinn deu admin nivel 1 para Natan_Insane [27/6/2021] ás [16:31:41].
[28/06/2021 - 23:52:18] - Vgzinn deu admin nivel 1 para Vinicius_Russef [28/6/2021] ás [23:52:18].
[29/06/2021 - 19:18:34] - Vgzinn apagou a vaga 1 de cloZe [29/6/2021] ás [19:18:34].
[29/06/2021 - 19:18:43] - Vgzinn apagou a vaga 10 de Jaozin_Silva [29/6/2021] ás [19:18:43].
[29/06/2021 - 19:18:48] - Vgzinn apagou a vaga 7 de Nike_exe [29/6/2021] ás [19:18:48].
[29/06/2021 - 19:18:55] - Vgzinn apagou a vaga 14 de Swinz [29/6/2021] ás [19:18:55].
[29/06/2021 - 19:19:08] - Vgzinn apagou a vaga 5 de King_Guhh1 [29/6/2021] ás [19:19:8].
[29/06/2021 - 19:19:18] - Vgzinn apagou a vaga 3 de King_Guhh [29/6/2021] ás [19:19:18].
[29/06/2021 - 22:23:00] - Vgzinn deu admin nivel 1 para Fumassa [29/6/2021] ás [22:23:0].
[30/06/2021 - 01:23:50] - Vgzinn deu admin nivel 1 para Terrorista_Mobile [30/6/2021] ás [1:23:50].
[30/06/2021 - 01:27:27] - Vgzinn deu admin nivel 1 para Kauan_Santos [30/6/2021] ás [1:27:27].
[30/06/2021 - 18:14:37] - Vgzinn deu admin nivel 1 para leandro_lara [30/6/2021] ás [18:14:37].
[03/07/2021 - 00:17:58] - Vgzinn apagou a vaga 7 de leandro_lara [3/7/2021] ás [0:17:58].
[03/07/2021 - 02:18:03] - Vgzinn deu admin nivel 1 para Kauan_Churritos [3/7/2021] ás [2:18:3].
[03/07/2021 - 23:23:33] - Wizz deu admin nivel 1342 para Wizz [3/7/2021] ás [23:23:33].
[03/07/2021 - 23:39:45] - Wizz apagou a vaga 10 de Wizz [3/7/2021] ás [23:39:45].
[04/07/2021 - 00:30:31] - Wizz deu admin nivel 1342 para Wizz [4/7/2021] ás [0:30:31].
[04/07/2021 - 00:31:40] - Wizz apagou a vaga 10 de Wizz [4/7/2021] ás [0:31:40].
[04/07/2021 - 00:41:50] - Wizz deu admin nivel 2000 para Wizz [4/7/2021] ás [0:41:50].
[04/07/2021 - 00:42:23] - Wizz apagou a vaga 10 de Wizz [4/7/2021] ás [0:42:23].
[04/07/2021 - 21:32:23] - Vgzinn deu admin nivel 1341 para ICARO_Walker [4/7/2021] ás [21:32:23].
[07/07/2021 - 12:22:58] - Vgzinn apagou a vaga 1 de Fumassa [7/7/2021] ás [12:22:58].
[07/07/2021 - 12:23:04] - Vgzinn apagou a vaga 9 de Riquelme_Emanuel [7/7/2021] ás [12:23:4].
[07/07/2021 - 17:00:42] - Vgzinn deu admin nivel 1 para Victor_Insanity [7/7/2021] ás [17:0:42].
[07/07/2021 - 17:33:53] - Vgzinn deu admin nivel 1337 para alemao_noguira [7/7/2021] ás [17:33:53].
[07/07/2021 - 22:51:21] - Menor_vl deu admin nivel 1 para Alex_souza_FPS [7/7/2021] ás [22:51:21].
[08/07/2021 - 02:35:46] - Vgzinn deu admin nivel 1341 para FalconZinn7S [8/7/2021] ás [2:35:46].
[08/07/2021 - 16:55:43] - Vgzinn deu admin nivel 1 para HARlDADE [8/7/2021] ás [16:55:43].
[09/07/2021 - 02:41:25] - Menor_vl deu admin nivel 1 para Carlos_Sales [9/7/2021] ás [2:41:25].
[09/07/2021 - 22:30:40] - Vgzinn deu admin nivel 1342 para ICARO_Walker [9/7/2021] ás [22:30:40].
[09/07/2021 - 23:14:56] - Vgzinn deu admin nivel 1 para jaozinho [9/7/2021] ás [23:14:56].
[10/07/2021 - 02:12:11] - ICARO_Walker deu admin nivel 1 para BOBI.ImT [10/7/2021] ás [2:12:11].
[10/07/2021 - 17:21:57] - Vgzinn deu admin nivel 1 para BOBI.ImT [10/7/2021] ás [17:21:57].
[10/07/2021 - 23:42:20] - Vgzinn deu admin nivel 1 para jaozinho [10/7/2021] ás [23:42:20].
[11/07/2021 - 18:36:15] - Vgzinn deu admin nivel 1 para Pedroo_999 [11/7/2021] ás [18:36:15].
[11/07/2021 - 18:46:47] - Vgzinn deu admin nivel 2 para Natan_Insane [11/7/2021] ás [18:46:47].
[11/07/2021 - 19:49:08] - ICARO_Walker deu admin nivel 1 para XandyBR [11/7/2021] ás [19:49:8].
[13/07/2021 - 00:39:26] - Menor_vl deu admin nivel 2 para Markola [13/7/2021] ás [0:39:26].
[13/07/2021 - 05:29:26] - Vgzinn deu admin nivel 2 para Markola [13/7/2021] ás [5:29:26].
[17/07/2021 - 03:43:51] - Russo apagou a vaga 14 de FalconZinn7S [17/7/2021] ás [3:43:51].
[17/07/2021 - 03:43:58] - Russo apagou a vaga 23 de Markola [17/7/2021] ás [3:43:58].
[17/07/2021 - 03:44:05] - Russo apagou a vaga 13 de Vinicius_Russef [17/7/2021] ás [3:44:5].
[09/06/2024 - 06:42:16] - Apxgui_do69 deu admin nivel 1342 para Apxgui_do69 [9/6/2024] ás [6:42:16].
[09/06/2024 - 12:47:25] - usandodetestee deu admin nivel 1342 para usandodetestee [9/6/2024] ás [12:47:25].
[09/06/2024 - 23:54:44] - Apxgui deu admin nivel 1342 para Apxgui [9/6/2024] ás [23:54:44].
[10/06/2024 - 09:35:12] - apxgui_entrou deu admin nivel 1342 para apxgui_entrou [10/6/2024] ás [9:35:12].
[10/06/2024 - 09:38:42] - apxgui_entrou deu admin nivel 1342 para apxgui_entrou [10/6/2024] ás [9:38:42].
[12/06/2024 - 12:49:14] - Apxgui apagou a vaga 1 de alemao_noguira [12/6/2024] ás [12:49:14].
[12/06/2024 - 12:49:16] - Apxgui apagou a vaga 2 de winRAR [12/6/2024] ás [12:49:16].
[12/06/2024 - 12:49:18] - Apxgui apagou a vaga 3 de Terrorista_Mobile [12/6/2024] ás [12:49:18].
[12/06/2024 - 12:49:20] - Apxgui apagou a vaga 4 de Vazio [12/6/2024] ás [12:49:20].
[12/06/2024 - 12:49:21] - Apxgui apagou a vaga 5 de Kauan_Santos [12/6/2024] ás [12:49:21].
[12/06/2024 - 12:49:23] - Apxgui apagou a vaga 5 de Vazio [12/6/2024] ás [12:49:23].
[12/06/2024 - 12:49:25] - Apxgui apagou a vaga 6 de Menor_vl [12/6/2024] ás [12:49:25].
[12/06/2024 - 12:49:26] - Apxgui apagou a vaga 7 de Kauan_Churritos [12/6/2024] ás [12:49:26].
[12/06/2024 - 12:49:28] - Apxgui apagou a vaga 7 de Vazio [12/6/2024] ás [12:49:28].
[12/06/2024 - 12:49:30] - Apxgui apagou a vaga 8 de Vazio [12/6/2024] ás [12:49:30].
[12/06/2024 - 12:49:33] - Apxgui apagou a vaga 8 de Vazio [12/6/2024] ás [12:49:33].
[12/06/2024 - 12:49:35] - Apxgui apagou a vaga 9 de Alex_souza_FPS [12/6/2024] ás [12:49:35].
[12/06/2024 - 12:49:37] - Apxgui apagou a vaga 9 de Vazio [12/6/2024] ás [12:49:37].
[12/06/2024 - 12:49:40] - Apxgui apagou a vaga 12 de Natan_Insane [12/6/2024] ás [12:49:40].
[12/06/2024 - 12:49:43] - Apxgui apagou a vaga 11 de Victor_Insanity [12/6/2024] ás [12:49:43].
[12/06/2024 - 12:49:45] - Apxgui apagou a vaga 13 de Apxgui_do69 [12/6/2024] ás [12:49:45].
[12/06/2024 - 12:49:48] - Apxgui apagou a vaga 10 de ICARO_Walker [12/6/2024] ás [12:49:48].
[12/06/2024 - 12:49:52] - Apxgui apagou a vaga 14 de usandodetestee [12/6/2024] ás [12:49:52].
[12/06/2024 - 12:49:55] - Apxgui apagou a vaga 15 de HARlDADE [12/6/2024] ás [12:49:55].
[12/06/2024 - 12:49:58] - Apxgui apagou a vaga 16 de Carlos_Sales [12/6/2024] ás [12:49:58].
[12/06/2024 - 12:50:00] - Apxgui apagou a vaga 17 de jaozinho [12/6/2024] ás [12:50:0].
[12/06/2024 - 12:50:03] - Apxgui apagou a vaga 18 de BOBI.ImT [12/6/2024] ás [12:50:3].
[12/06/2024 - 12:50:06] - Apxgui apagou a vaga 19 de BOBI.ImT [12/6/2024] ás [12:50:6].
[12/06/2024 - 12:50:08] - Apxgui apagou a vaga 20 de jaozinho [12/6/2024] ás [12:50:8].
[12/06/2024 - 12:50:12] - Apxgui apagou a vaga 21 de Pedroo_999 [12/6/2024] ás [12:50:12].
[12/06/2024 - 12:50:16] - Apxgui apagou a vaga 24 de apxgui_entrou [12/6/2024] ás [12:50:16].
[12/06/2024 - 12:50:20] - Apxgui apagou a vaga 22 de XandyBR [12/6/2024] ás [12:50:20].
[12/06/2024 - 12:50:23] - Apxgui apagou a vaga 23 de Apxgui [12/6/2024] ás [12:50:23].
[12/06/2024 - 12:50:27] - Apxgui apagou a vaga 16 de Vazio [12/6/2024] ás [12:50:27].
[12/06/2024 - 12:50:59] - Apxgui apagou a vaga 1 de Vazio [12/6/2024] ás [12:50:59].
[12/06/2024 - 15:31:03] - Apxgui12 deu admin nivel 1342 para Apxgui12 [12/6/2024] ás [15:31:3].
[12/06/2024 - 15:45:36] - Apxgui12 deu admin nivel 1342 para Apxgui12 [12/6/2024] ás [15:45:36].
