[24/06/2021 - 17:52:22] - ANTIXITER: Kauan_Santos[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 18:38:12] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 18:38:16] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 18:38:18] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 18:40:33] - ANTIXITER: Kauan_Santos[1] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 18:40:36] - ANTIXITER: Kauan_Santos[1] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 18:40:40] - ANTIXITER: Kauan_Santos[1] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 18:40:43] - ANTIXITER: Kauan_Santos[1] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 18:41:19] - ANTIXITER: Kauan_Santos[1] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 18:41:30] - ANTIXITER: Kauan_Santos[1] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 18:42:48] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 18:44:37] - ANTIXITER: Kauan_Santos[1] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:11:54] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:11:58] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:12:01] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:12:03] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:12:06] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:12:09] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:12:12] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:12:22] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:13:13] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:13:16] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:14:13] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:14:15] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:17:48] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:17:50] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:18:56] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:19:45] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:20:12] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:20:15] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:20:18] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:21:04] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:21:10] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:41:58] - ANTIXITER: Fumassa[0] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:49:18] - ANTIXITER: Fumassa[3] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:50:02] - ANTIXITER: Fumassa[3] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:50:04] - ANTIXITER: Fumassa[3] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:50:10] - ANTIXITER: Fumassa[3] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:50:20] - ANTIXITER: Fumassa[3] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:50:31] - ANTIXITER: Fumassa[3] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:50:34] - ANTIXITER: Fumassa[3] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:50:46] - ANTIXITER: Fumassa[3] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:52:33] - ANTIXITER: Fumassa[3] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:52:36] - ANTIXITER: Fumassa[3] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:54:41] - ANTIXITER: Fumassa[3] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:54:44] - ANTIXITER: Fumassa[3] parece estar usando auto cbug, /tvon nele rápido!
[24/06/2021 - 19:54:50] - ANTIXITER: Fumassa[3] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 01:03:16] - ANTIXITER: Fumassa[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 01:05:40] - ANTIXITER: Natan_Insane[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 01:08:47] - ANTIXITER: Natan_Insane[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 01:15:17] - ANTIXITER: Natan_Insane[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 01:15:21] - ANTIXITER: Fumassa[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 01:15:22] - ANTIXITER: Natan_Insane[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 01:15:25] - ANTIXITER: Fumassa[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 01:16:48] - ANTIXITER: Natan_Insane[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 01:16:53] - ANTIXITER: Natan_Insane[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 01:16:57] - ANTIXITER: Natan_Insane[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 02:15:29] - ANTIXITER: |AVISO[1]| Kauan_Santos(4) disparou 10 tiros continuamente com a arma: Deagle(24)
[25/06/2021 - 02:16:33] - ANTIXITER: |AVISO[2]| Kauan_Santos(4) Está com suspeita de AIMBOT, faixa de tiro: Deagle(faixa normal:35.000000)
[25/06/2021 - 02:16:52] - ANTIXITER: |AVISO[3]| Kauan_Santos(4) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[25/06/2021 - 02:16:52] - ANTIXITER: |AVISO[3]| Kauan_Santos(4) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[25/06/2021 - 02:16:52] - ANTIXITER: |AVISO[4]| (75) Está com suspeita de Aimbot(Hit with Random Aim with )
[25/06/2021 - 02:20:23] - ANTIXITER: Natan_Insane[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 03:17:13] - ANTIXITER: Fumassa[7] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 03:17:18] - ANTIXITER: Fumassa[7] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 03:17:29] - ANTIXITER: Fumassa[7] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 03:17:37] - ANTIXITER: Fumassa[7] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 03:24:24] - ANTIXITER: Fumassa[7] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 03:25:14] - ANTIXITER: Fumassa[7] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 03:27:36] - ANTIXITER: Fumassa[7] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 12:23:34] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 12:23:38] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 12:36:36] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 12:36:57] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 12:37:01] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 12:37:04] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 12:37:11] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 12:52:30] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 12:57:56] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 12:58:07] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 13:09:03] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 13:18:13] - ANTIXITER: Fumassa[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 13:18:21] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 13:18:23] - ANTIXITER: Fumassa[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 13:22:03] - ANTIXITER: Fumassa[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 13:22:17] - ANTIXITER: Fumassa[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 13:22:19] - ANTIXITER: Fumassa[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 13:22:23] - ANTIXITER: Fumassa[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 13:23:22] - ANTIXITER: Fumassa[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 13:25:18] - ANTIXITER: Fumassa[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 13:26:18] - ANTIXITER: Fumassa[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 13:55:53] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 13:56:00] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 13:56:27] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 13:56:31] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 14:49:24] - ANTIXITER: Natan_Insane[4] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 15:12:51] - ANTIXITER: Natan_Insane[4] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 15:13:16] - ANTIXITER: Natan_Insane[4] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 15:47:12] - ANTIXITER: Natan_Insane[4] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 15:47:23] - ANTIXITER: Natan_Insane[4] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 15:48:29] - ANTIXITER: Natan_Insane[4] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 15:48:33] - ANTIXITER: Natan_Insane[4] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 21:17:28] - ANTIXITER: jopeex_yt[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 21:17:32] - ANTIXITER: jopeex_yt[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 21:17:36] - ANTIXITER: jopeex_yt[2] parece estar usando auto cbug, /tvon nele rápido!
[25/06/2021 - 22:59:54] - ANTIXITER: |AVISO[1]| iilegal_elemts(3) disparou 10 tiros continuamente com a arma: M4(31)
[25/06/2021 - 23:32:01] - ANTIXITER: |AVISO[2]| iilegal_elemts(3) disparou 10 tiros continuamente com a arma: M4(31)
[25/06/2021 - 23:47:02] - ANTIXITER: |AVISO[3]| iilegal_elemts(3) Está com suspeita de AIMBOT, faixa de tiro: MP5(faixa normal:45.000000)
[25/06/2021 - 23:47:02] - ANTIXITER: |AVISO[4]| iilegal_elemts(3) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[25/06/2021 - 23:47:02] - ANTIXITER: |AVISO[4]| iilegal_elemts(3) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[25/06/2021 - 23:47:02] - ANTIXITER: |AVISO[5]| iilegal_elemts(3) Está com suspeita de AIMBOT, faixa de tiro: MP5(faixa normal:45.000000)
[25/06/2021 - 23:47:02] - ANTIXITER: |AVISO[5]| (105) Está com suspeita de Aimbot(Hit with Random Aim with 	º)
[25/06/2021 - 23:47:02] - ANTIXITER: |AVISO[6]| iilegal_elemts(3) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[25/06/2021 - 23:47:02] - ANTIXITER: |AVISO[6]| iilegal_elemts(3) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 02:02:42] - ANTIXITER: |AVISO[1]| Vgzinn(4) disparou 10 tiros continuamente com a arma: MP5(29)
[26/06/2021 - 02:52:28] - ANTIXITER: |AVISO[1]| texugo_gg(10) disparou 10 tiros continuamente com a arma: M4(31)
[26/06/2021 - 03:03:33] - ANTIXITER: |AVISO[1]| VIXTOE(12) disparou 10 tiros continuamente com a arma: MP5(29)
[26/06/2021 - 03:35:39] - ANTIXITER: Natan_Insane[10] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 04:44:31] - ANTIXITER: Natan_Insane[3] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 04:50:19] - ANTIXITER: kink_rp[5] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 14:40:35] - ANTIXITER: |AVISO[1]| katchau_sad(0) Está com suspeita de AIMBOT, faixa de tiro: MP5(faixa normal:45.000000)
[26/06/2021 - 17:23:36] - ANTIXITER: Natan_Insane[3] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 17:52:06] - ANTIXITER: Natan_Insane[3] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 17:52:15] - ANTIXITER: Natan_Insane[3] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 20:14:04] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 20:14:42] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 20:14:46] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 20:14:49] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 20:15:15] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 20:15:40] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 20:15:45] - ANTIXITER: Natan_Insane[1] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 23:03:50] - ANTIXITER: |AVISO[1]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: MP5(faixa normal:45.000000)
[26/06/2021 - 23:03:51] - ANTIXITER: |AVISO[2]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:03:51] - ANTIXITER: |AVISO[2]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:03:51] - ANTIXITER: |AVISO[3]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: MP5(faixa normal:45.000000)
[26/06/2021 - 23:03:51] - ANTIXITER: |AVISO[4]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: MP5(faixa normal:45.000000)
[26/06/2021 - 23:19:19] - ANTIXITER: |AVISO[5]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:19:20] - ANTIXITER: |AVISO[6]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:19:22] - ANTIXITER: |AVISO[7]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:22] - ANTIXITER: |AVISO[7]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:24] - ANTIXITER: |AVISO[8]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:19:25] - ANTIXITER: |AVISO[9]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:19:25] - ANTIXITER: |AVISO[10]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:25] - ANTIXITER: |AVISO[10]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:26] - ANTIXITER: |AVISO[11]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:19:26] - ANTIXITER: |AVISO[12]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:26] - ANTIXITER: |AVISO[12]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:26] - ANTIXITER: |AVISO[13]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:19:26] - ANTIXITER: |AVISO[14]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:26] - ANTIXITER: |AVISO[14]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:26] - ANTIXITER: |AVISO[15]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:19:27] - ANTIXITER: |AVISO[16]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:19:27] - ANTIXITER: |AVISO[16]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:27] - ANTIXITER: |AVISO[16]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:27] - ANTIXITER: |AVISO[17]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:19:27] - ANTIXITER: |AVISO[18]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:27] - ANTIXITER: |AVISO[18]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:27] - ANTIXITER: |AVISO[19]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:19:28] - ANTIXITER: |AVISO[20]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:28] - ANTIXITER: |AVISO[20]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:28] - ANTIXITER: |AVISO[21]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:19:28] - ANTIXITER: |AVISO[22]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:19:28] - ANTIXITER: |AVISO[22]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:28] - ANTIXITER: |AVISO[22]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:31] - ANTIXITER: |AVISO[23]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:19:31] - ANTIXITER: |AVISO[24]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:31] - ANTIXITER: |AVISO[24]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:31] - ANTIXITER: |AVISO[25]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:19:32] - ANTIXITER: |AVISO[26]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:32] - ANTIXITER: |AVISO[26]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:32] - ANTIXITER: |AVISO[27]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:19:32] - ANTIXITER: |AVISO[28]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:32] - ANTIXITER: |AVISO[28]| katchau_sad(5) Está possivelmente usando PRO-AIM (Teleport Detectedo)
[26/06/2021 - 23:19:33] - ANTIXITER: |AVISO[29]| katchau_sad(5) Está com suspeita de AIMBOT, faixa de tiro: M4(faixa normal:90.000000)
[26/06/2021 - 23:29:29] - ANTIXITER: Miracle_Ramsey[42] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 23:29:29] - ANTIXITER: Salvador_Waller[17] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 23:29:29] - ANTIXITER: Levi_Benjamin[32] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 23:29:29] - ANTIXITER: Isis_Mueller[26] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 23:29:29] - ANTIXITER: Jalen_Marquez[29] parece estar usando auto cbug, /tvon nele rápido!
[26/06/2021 - 23:29:29] - ANTIXITER: Eleanor_Andersen[36] parece estar usando auto cbug, /tvon nele rápido!
